city_ascii,lat,lng,country
Tokyo,35.6839,139.7744,Japan
Jakarta,-6.2146,106.8451,Indonesia
Delhi,28.6667,77.2167,India
Manila,14.6000,120.9833,Philippines
Sao Paulo,-23.5504,-46.6339,Brazil
Seoul,37.5600,126.9900,South Korea
Mumbai,19.0758,72.8775,India
Shanghai,31.1667,121.4667,China
Mexico City,19.4333,-99.1333,Mexico
Guangzhou,23.1288,113.2590,China
Cairo,30.0444,31.2358,Egypt
Beijing,39.9040,116.4075,China
New York,40.6943,-73.9249,United States
Kolkata,22.5727,88.3639,India
Moscow,55.7558,37.6178,Russia
Bangkok,13.7500,100.5167,Thailand
Dhaka,23.7289,90.3944,Bangladesh
Buenos Aires,-34.5997,-58.3819,Argentina
Osaka,34.7520,135.4582,Japan
Lagos,6.4500,3.4000,Nigeria
Istanbul,41.0100,28.9603,Turkey
Karachi,24.8600,67.0100,Pakistan
Kinshasa,-4.3317,15.3139,Congo (Kinshasa)
Shenzhen,22.5350,114.0540,China
Bangalore,12.9791,77.5913,India
Ho Chi Minh City,10.8167,106.6333,Vietnam
Tehran,35.7000,51.4167,Iran
Los Angeles,34.1139,-118.4068,United States
Rio de Janeiro,-22.9083,-43.1964,Brazil
Chengdu,30.6600,104.0633,China
Baoding,38.8671,115.4845,China
Chennai,13.0825,80.2750,India
Lahore,31.5497,74.3436,Pakistan
London,51.5072,-0.1275,United Kingdom
Paris,48.8566,2.3522,France
Tianjin,39.1467,117.2056,China
Linyi,35.0606,118.3425,China
Shijiazhuang,38.0422,114.5086,China
Zhengzhou,34.7492,113.6605,China
Nanyang,32.9987,112.5292,China
Hyderabad,17.3617,78.4747,India
Wuhan,30.5872,114.2881,China
Handan,36.6116,114.4894,China
Nagoya,35.1167,136.9333,Japan
Weifang,36.7167,119.1000,China
Lima,-12.0600,-77.0375,Peru
Zhoukou,33.6250,114.6418,China
Luanda,-8.8383,13.2344,Angola
Ganzhou,25.8292,114.9336,China
Tongshan,34.2610,117.1859,China
Kuala Lumpur,3.1478,101.6953,Malaysia
Chicago,41.8373,-87.6862,United States
Heze,35.2333,115.4333,China
Chongqing,29.5500,106.5069,China
Hanoi,21.0245,105.8412,Vietnam
Fuyang,32.8986,115.8045,China
Changsha,28.1987,112.9709,China
Dongguan,23.0475,113.7493,China
Jining,35.4000,116.5667,China
Jinan,36.6667,116.9833,China
Pune,18.5196,73.8553,India
Foshan,23.0292,113.1056,China
Bogota,4.6126,-74.0705,Colombia
Ahmedabad,23.0300,72.5800,India
Nanjing,32.0500,118.7667,China
Changchun,43.9000,125.2000,China
Tangshan,39.6292,118.1742,China
Cangzhou,38.3037,116.8452,China
Dar es Salaam,-6.8000,39.2833,Tanzania
